track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
sebring,1971-03-20,3,Porsche 917 K #020 - Porsche 912 F12 2v DOHC 4907 cc N/A,1,S,Martini & Rossi Racing (D),Closed bodywork,Mid-engined,Vic Elford (GB)/Gérard Larrousse (F),MARTINI & ROSI RACING TEAM/Shell,silver/blue (+red),Firestone,11/10/2009,Louis Galanos,Porsche,917,K,#020,Result: winner - (181.053 kph) - margin: 3 lapsGrid: 4th (2:34.8100),winner - (181.053 kph) - margin: 3 lapsGrid: 4th (2:34.8100),finished,4,2:34.8100,181.053 kph,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-003.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-003.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-020.html
sebring,1971-03-20,33,Alfa Romeo T33/3 #75080-009 - Alfa Romeo 300 V8 4v DOHC 2993 cc N/A,2,P3.0,Autodelta S.p.a. (I),Open bodywork,Mid-engined,Nanni Galli (I)/Rolf Stommelen (D),Firestone,red,Firestone,09/01/2023,"Dave Kutz, Rallye Racing and Graham L. Smith",Alfa Romeo,T33/3,NA,#75080-009,Result: 2nd 1st in P3.0 (3 laps behind the winner)Grid: 5th (2:34.9900),2nd 1st in P3.0 (3 laps behind the winner)Grid: 5th (2:34.9900),finished,5,2:34.9900,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-033.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-033.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__3.html,NA,https://www.racingsportscars.com/chassis/photo/75080-009.html
sebring,1971-03-20,32,Alfa Romeo T33/3 - Alfa Romeo 300 V8 4v DOHC 2993 cc N/A,3,P3.0,Autodelta S.p.a. (I),Open bodywork,Mid-engined,Andrea de Adamich (I)/Henri Pescarolo (F)/Nino Vaccarella (I),Shell/CARELLO,red (+yellow),NA,04/11/2002,Dave Kutz,Alfa Romeo,T33/3,NA,NA,Result: 3rd (12 laps behind the winner)Grid: 11th (2:40.1700),3rd (12 laps behind the winner)Grid: 11th (2:40.1700),finished,11,2:40.1700,12 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-032.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-032.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__3.html,NA,NA
sebring,1971-03-20,2,Porsche 917 K #009 - Porsche 912 F12 2v DOHC 4907 cc N/A,4,S,J. W. Automotive Engineering Ltd. (GB),Closed bodywork,Mid-engined,Pedro Rodriguez (MEX)/Jackie Oliver (GB),Gulf,light blue (+orange),NA,08/08/2010,Bill Stowe and George Boron,Porsche,917,K,#009,Result: 4th (12 laps behind the winner)Grid: 3rd (2:33.8400),4th (12 laps behind the winner)Grid: 3rd (2:33.8400),finished,3,2:33.8400,12 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-002.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-002.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-009.html
sebring,1971-03-20,1,Porsche 917 K #031=>026 - Porsche 912 F12 2v DOHC 4907 cc N/A,5,S,J. W. Automotive Engineering Ltd. (GB),Closed bodywork,Mid-engined,Jo Siffert (CH)/Derek Bell (GB),Gulf,light blue (+orange),Firestone,11/10/2009,Louis Galanos,Porsche,917,K,#031=>026,Result: 5th (16 laps behind the winner)Grid: 6th (2:35.1800),5th (16 laps behind the winner)Grid: 6th (2:35.1800),finished,6,2:35.1800,16 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-001.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-001.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-031.html
sebring,1971-03-20,6,Ferrari 512 M #1040 - Ferrari 512 V12 4v 4994 cc N/A,6,S,Penske/White Racing (USA),Closed bodywork,Mid-engined,Mark Donohue (USA)/David Hobbs (GB),SUNOCO/Ferrari,blue (+yellow/silver),Goodyear,14/05/2014,"George Boron, Mike Smith, Louis Galanos and Chuck Wilberger",Ferrari,512 M,NA,#1040,Result: 6th (17 laps behind the winner)Grid: 1st (2:31.6500),6th (17 laps behind the winner)Grid: 1st (2:31.6500),finished,1,2:31.6500,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-006.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-006.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20M.html,NA,https://www.racingsportscars.com/chassis/photo/1040%20%5b512S%5d.html
sebring,1971-03-20,48,Chevrolet Corvette # - Chevrolet V8 7000 cc N/A,7,GT+2.5,John Greenwood (USA),Closed hardtop bodywork,Front-engined,John Greenwood (USA)/Dick Smothers (USA),MARATHON/GREENWOOD,red/white/blue,Goodyear,09/01/2023,Graham L. Smith and Louis Galanos,Chevrolet,Corvette,NA,#,Result: 7th 1st in GT+2.5 (42 laps behind the winner)Grid: 16th (2:57.7700),7th 1st in GT+2.5 (42 laps behind the winner)Grid: 16th (2:57.7700),finished,16,2:57.7700,42 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-048.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-048.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,NA,https://www.racingsportscars.com/chassis/photo/Corvette-Greenwood-1968%23.html
sebring,1971-03-20,21,Ferrari 312 P/71 #0872 - Ferrari 312 V12/60° 4v 3000 cc N/A,8,P3.0,North American Racing Team (USA),Open bodywork,Mid-engined,"Luigi Chinetti, Jr. (USA)/George Eaton (CDN)",GOODYEAR,red,Goodyear,10/07/2012,Maranello-Literature.com and Louis Galanos,Ferrari,312 P,/71,#0872,Result: 8th (47 laps behind the winner)Grid: 15th (2:56.8000),8th (47 laps behind the winner)Grid: 15th (2:56.8000),finished,15,2:56.8000,47 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-021.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-021.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/312%20P.html,https://www.racingsportscars.com/suffix/photo/Ferrari/312%20P/__71.html,https://www.racingsportscars.com/chassis/photo/0872%20%5b312P%5d.html
sebring,1971-03-20,31,Porsche 911 T #118 1 0429 - Porsche F6 2v SOHC 1991 cc N/A,9,GT2.5,Locke Lake Colony & Waterville Estates (USA),Closed bodywork,Rear-engined,Jim Locke (USA)/Bert Everett (USA),Gulf,red,NA,11/10/2009,Louis Galanos,Porsche,911,T,#118 1 0429,Result: 9th 1st in GT2.5 (57 laps behind the winner)Grid: 33rd (3:16.9800),9th 1st in GT2.5 (57 laps behind the winner)Grid: 33rd (3:16.9800),finished,33,3:16.9800,57 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-031.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-031.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/T.html,https://www.racingsportscars.com/chassis/photo/118%201%200429.html
sebring,1971-03-20,57,Chevrolet Corvette # - Chevrolet V8/90° 2v OHV 7000 cc N/A,10,GT+2.5,"Dave Heinz Racing, Inc. (USA)",Closed hardtop bodywork,Front-engined,Dave Heinz (USA)/Robert R. Johnson (USA)/Or Costanzo (USA),CITY CORVETTE CLUB/DAVE HEINZ IMPORTS,yellow (+red),Goodyear,28/03/2010,Greg Boyd,Chevrolet,Corvette,NA,#,Result: 10th (61 laps behind the winner)Grid: 20th (3:03.1100),10th (61 laps behind the winner)Grid: 20th (3:03.1100),finished,20,3:03.1100,61 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-057.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-057.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,NA,https://www.racingsportscars.com/chassis/photo/Corvette-C3-Heinz%23.html
sebring,1971-03-20,39,Porsche 911 T/R #118 2 0809 - Porsche F6 2v SOHC 1991 cc N/A,11,T2.5,K&T Enterprises (USA),Closed bodywork,Rear-engined,Ash Tisdelle (USA)/Peter Kirill (USA),Gulf/CIBIÉ,blue,Goodyear,NA,NA,Porsche,911,T/R,#118 2 0809,Result: 11th 1st in T2.5 (61 laps behind the winner)Grid: 43rd (3:25.4300),11th 1st in T2.5 (61 laps behind the winner)Grid: 43rd (3:25.4300),finished,43,3:25.4300,61 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/T__R.html,https://www.racingsportscars.com/chassis/photo/118%202%200809.html
sebring,1971-03-20,24,Ferrari 365 GTB/4 #14107 - Ferrari V12 4390 cc N/A,12,S,North American Racing Team (USA),Closed bodywork,Front-engined,Harley Cluxton (USA)/Bob Grossman (USA),Pepsi Cola,red,NA,11/10/2009,Louis Galanos,Ferrari,365 GTB/4,NA,#14107,Result: 12th (65 laps behind the winner)Grid: 42nd (3:24.4800),12th (65 laps behind the winner)Grid: 42nd (3:24.4800),finished,42,3:24.4800,65 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-024.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-024.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/365%20GTB__4.html,NA,https://www.racingsportscars.com/chassis/photo/14107%20%5b365%20GTB__4%5d.html
sebring,1971-03-20,47,Chevrolet Camaro - Chevrolet V8/90° 2v OHV 5000 cc N/A,13,T+2.5,Bruce Behrens Racing (USA),Closed bodywork,Front-engined,John Tremblay (USA)/Bill McDill (USA),NA,red/gold,NA,NA,NA,Chevrolet,Camaro,NA,NA,Result: 13th 1st in T+2.5 (67 laps behind the winner)Grid: 27th (3:08.5400),13th 1st in T+2.5 (67 laps behind the winner)Grid: 27th (3:08.5400),finished,27,3:08.5400,67 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,NA,NA
sebring,1971-03-20,59,Porsche 914/6 #914 043 0705 - Porsche F6 2v SOHC 1991 cc N/A,14,GT2.5,Brumos Porsche Audi Corp. (USA),-,Mid-engined,Peter Gregg (USA)/Hurley Haywood (USA),NA,orange,NA,11/10/2009,Louis Galanos,Porsche,914,/6,#914 043 0705,Result: 14th (68 laps behind the winner)Grid: 28th (3:10.7200),14th (68 laps behind the winner)Grid: 28th (3:10.7200),finished,28,3:10.7200,68 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-059.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-059.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/914.html,https://www.racingsportscars.com/suffix/photo/Porsche/914/__6.html,https://www.racingsportscars.com/chassis/photo/914%20043%200705.html
sebring,1971-03-20,89,Chevrolet Camaro - Chevrolet V8/90° 2v OHV 5000 cc N/A,15,T+2.5,H. Houghton Smith (USA),Closed bodywork,Front-engined,Bert Gafford (USA)/Houghton Smith (USA),NA,blue/white,NA,NA,NA,Chevrolet,Camaro,NA,NA,Result: 15th (69 laps behind the winner)Grid: 34th (3:19.9400),15th (69 laps behind the winner)Grid: 34th (3:19.9400),finished,34,3:19.9400,69 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,NA,NA
sebring,1971-03-20,81,Porsche 911 S - Porsche F6 2v SOHC 1991 cc N/A,16,GT2.5,Ray Walle Ent. Inc. (USA),Closed bodywork,Rear-engined,Ray Walle (USA)/Tom Davey (USA)/Tom Reddy (USA),Gulf/WESTCLOX,black/orange,NA,NA,NA,Porsche,911,S,NA,Result: 16th (73 laps behind the winner)Grid: 56th (3:32.4300),16th (73 laps behind the winner)Grid: 56th (3:32.4300),finished,56,3:32.4300,73 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,NA
sebring,1971-03-20,5,Porsche 914/6 #914 043 1017 - Porsche F6 2v SOHC 1991 cc N/A,17,GT2.5,Jacques Duval (CDN),Closed hardtop bodywork,Mid-engined,Jacques Duval (CDN)/George Nicholas (CDN)/Bob Bailey (USA),SUNOCO PORSCHE,yellow,NA,NA,NA,Porsche,914,/6,#914 043 1017,Result: 17th (73 laps behind the winner)Grid: 39th (3:22.4300),17th (73 laps behind the winner)Grid: 39th (3:22.4300),finished,39,3:22.4300,73 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/914.html,https://www.racingsportscars.com/suffix/photo/Porsche/914/__6.html,https://www.racingsportscars.com/chassis/photo/914%20043%201017.html
sebring,1971-03-20,19,Chevrolet Camaro # - Chevrolet V8/90° 2v OHV 5000 cc N/A,18,T+2.5,"Thomas T. Ciccone, Jr. (USA)",Closed bodywork,Front-engined,Tom Ciccone (USA)/Len Greenhalgh (USA)/Dick Roberts (USA),NA,white/black,NA,NA,NA,Chevrolet,Camaro,NA,#,Result: 18th (77 laps behind the winner)Grid: 37th (3:21.5700),18th (77 laps behind the winner)Grid: 37th (3:21.5700),finished,37,3:21.5700,77 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,NA,https://www.racingsportscars.com/chassis/photo/Camaro-Ciccone%23.html
sebring,1971-03-20,14,Chevrolet Camaro - Chevrolet V8/90° 2v OHV 5000 cc N/A,19,T+2.5,Boykin Auto Repair (USA),Closed bodywork,Front-engined,C. C. Canada (USA)/Bob Christiansen (USA),NA,white/blue,NA,NA,NA,Chevrolet,Camaro,NA,NA,Result: 19th (77 laps behind the winner)Grid: 40th (3:23.5000),19th (77 laps behind the winner)Grid: 40th (3:23.5000),finished,40,3:23.5000,77 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,NA,NA
sebring,1971-03-20,40,Porsche 911 S - Porsche F6 2v SOHC 1991 cc N/A,20,GT2.5,"Bozzani Porsche, Inc. (USA)",-,Rear-engined,John Hotchkis (USA)/Robert Kirby (USA),NA,red,NA,NA,NA,Porsche,911,S,NA,Result: 20th (80 laps behind the winner)Grid: 54th (3:31.2400),20th (80 laps behind the winner)Grid: 54th (3:31.2400),finished,54,3:31.2400,80 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,NA
sebring,1971-03-20,60,Porsche 911 S - Porsche F6 2v SOHC 1991 cc N/A,21,GT2.5,"Wheel Sport, Ent. (USA)",Closed bodywork,Rear-engined,Michael Walker (USA)/Daryl Springer (USA),NA,white,NA,NA,NA,Porsche,911,S,NA,Result: 21st (84 laps behind the winner)Grid: 51st (3:29.2800),21st (84 laps behind the winner)Grid: 51st (3:29.2800),finished,51,3:29.2800,84 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,NA
sebring,1971-03-20,72,Chevrolet Camaro # - Chevrolet V8/90° 2v OHV 5000 cc N/A,22,T+2.5,Robert R. Mitchell (USA),Closed bodywork,Front-engined,Bob Mitchell (USA)/Charlie Kemp (USA),NA,orange,NA,NA,NA,Chevrolet,Camaro,NA,#,Result: 22nd (102 laps behind the winner)Grid: 29th (3:12.5000),22nd (102 laps behind the winner)Grid: 29th (3:12.5000),finished,29,3:12.5000,102 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,NA,https://www.racingsportscars.com/chassis/photo/Camaro-Mitchell%23.html
sebring,1971-03-20,84,Alfa Romeo 1750 GTV # - Alfa Romeo L4 DOHC 1779 cc N/A,23,T2.5,Del Taylor (USA),Closed bodywork,Front-engined,Ron Goldleaf (USA)/Del Russo Taylor (USA)/Bob Wheat (USA),NA,black/orange,NA,10/09/2012,Rallye Racing,Alfa Romeo,1750 GTV,NA,#,Result: 23rd (112 laps behind the winner)Grid: 57th (3:32.5100),23rd (112 laps behind the winner)Grid: 57th (3:32.5100),finished,57,3:32.5100,112 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-084.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-084.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/1750%20GTV.html,NA,https://www.racingsportscars.com/chassis/photo/1750-GTV-Taylor%23.html
sebring,1971-03-20,63,Chevrolet Camaro I # - Chevrolet V8/90° 2v OHV 5000 cc N/A,24,T+2.5,Preston Hood Chevrolet (USA),Closed bodywork,Front-engined,John Elliott (USA)/Don Gwynne (USA),Preston Hood CHEVROLET,white/red (+blue),Firestone,31/10/2010,Louis Galanos and Richard Reventlow,Chevrolet,Camaro,I,#,Result: 24th (118 laps behind the winner)Grid: 50th (3:28.9500),24th (118 laps behind the winner)Grid: 50th (3:28.9500),finished,50,3:28.9500,118 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-063.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-063.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Camaro/I.html,https://www.racingsportscars.com/chassis/photo/Camaro-I-Elliott%23.html
sebring,1971-03-20,74,Porsche 906 #148 - Porsche Typ 901 F6 2v SOHC 1991 cc N/A,NA,S,Dr. Mervin B. Rosen (USA),Closed bodywork,Mid-engined,"Merv Rosen (USA)/Dick Jacobs (USA)listed, never drove: Russ Tyndall (USA)",NA,white,NA,NA,NA,Porsche,906,NA,#148,Result: not classified (88 laps behind the winner)Grid: 24th (3:06.4600),not classified (88 laps behind the winner)Grid: 24th (3:06.4600),other,24,3:06.4600,NA,88 laps behind the winner,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/906.html,NA,https://www.racingsportscars.com/chassis/photo/906-148.html
sebring,1971-03-20,11,Chevrolet Corvette C3 # - Chevrolet V8/90° 2v OHV 7000 cc N/A,NA,GT+2.5,"Troy Promotions, Inc. (USA)",Closed bodywork,Front-engined,Don Yenko (USA)/Tony DeLorenzo (USA)/Jerry Thompson (USA),MARATHON,white (+red/blue),NA,28/03/2010,Greg Boyd,Chevrolet,Corvette,C3,#,Result: not classified (110 laps behind the winner)Grid: 14th (2:56.5200),not classified (110 laps behind the winner)Grid: 14th (2:56.5200),other,14,2:56.5200,NA,110 laps behind the winner,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-011.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-011.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette/C3.html,https://www.racingsportscars.com/chassis/photo/Corvette-C3-DeLorenzo%23.html
sebring,1971-03-20,17,Chevron B16 # - Ford Cosworth FVC L4 4v DOHC 1798 cc N/A,NA,P2.0,Ring-Free Oil Racing Team (USA),Closed bodywork,Mid-engined,"Tom Fraser (USA)/Charles Reynolds (USA)/Jean Sage (F)/Clive Baker (GB)listed, never drove: Jean-Pierre Hanrioud (F), Judy Kondratiff (USA)",NA,orange,NA,NA,NA,Chevron,B16,NA,#,Result: not classified (119 laps behind the winner)Grid: 21st (3:03.2200),not classified (119 laps behind the winner)Grid: 21st (3:03.2200),other,21,3:03.2200,NA,119 laps behind the winner,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevron.html,https://www.racingsportscars.com/type/photo/Chevron/B16.html,NA,https://www.racingsportscars.com/chassis/photo/B16-DBE17.html
sebring,1971-03-20,42,Chevrolet Camaro II Z28 # - Chevrolet V8/90° 2v OHV 5000 cc N/A,NA,T+2.5,Garcia Racing (USA),Closed bodywork,Front-engined,Luis Sereix (USA)/Javier Garcia (USA)/Ralph Noseda (USA),... BODY SHOP,blue/white,NA,15/09/2010,Luis Sereix,Chevrolet,Camaro,II Z28,#,Result: not classified (127 laps behind the winner)Grid: 44th (3:25.6500),not classified (127 laps behind the winner)Grid: 44th (3:25.6500),other,44,3:25.6500,NA,127 laps behind the winner,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-042.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-042.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Camaro/II%20Z28.html,https://www.racingsportscars.com/chassis/photo/Camaro-II-Garcia%23.html
